Date,Open,High,Low,Close,Volume
05/02/2003 16:00:00,22.05,22.5,22.03,22.17,5358665
06/02/2003 16:00:00,22.23,22.48,21.93,22.09,4048964
07/02/2003 16:00:00,22.09,22.11,21.2,21.44,6980613
10/02/2003 16:00:00,21.41,21.41,20.57,21.4,8120067
11/02/2003 16:00:00,21.37,21.6,20.69,20.78,6702648
12/02/2003 16:00:00,20.75,21.2,20.66,21.13,5458919
13/02/2003 16:00:00,21,21,19.61,20.06,11607079
14/02/2003 16:00:00,20.2,20.23,19.71,20.06,6641063
18/02/2003 16:00:00,20.15,21.41,20.15,21.39,7916770
19/02/2003 16:00:00,21.25,21.25,21.02,21.19,5510823
20/02/2003 16:00:00,21.25,21.5,21.09,21.36,4188401
21/02/2003 16:00:00,21.32,21.83,21.04,21.78,7254749
24/02/2003 16:00:00,21.7,22.18,21.64,21.78,6947779
25/02/2003 16:00:00,21.6,22,21.4,21.88,5651954
26/02/2003 16:00:00,21.85,21.98,21.62,21.64,4131946
27/02/2003 16:00:00,21.5,21.77,20.25,21.62,5092425
28/02/2003 16:00:00,21.65,22.02,21.43,22.01,4697601
03/03/2003 16:00:00,22.01,22.61,21.74,21.81,4494740
04/03/2003 16:00:00,21.69,22.35,21.36,22.27,5447739
05/03/2003 16:00:00,22.27,22.62,22.02,22.42,5173488
06/03/2003 16:00:00,22.42,22.85,22.12,22.69,5423306
07/03/2003 16:00:00,22.51,23.04,22.26,22.97,4827215
10/03/2003 16:00:00,22.96,22.96,22.55,22.88,4428881
11/03/2003 16:00:00,22.85,22.92,22.52,22.78,4049229
12/03/2003 16:00:00,22.78,23.38,22.49,23.36,5592114
13/03/2003 16:00:00,23.37,24.59,23.13,24.42,11242660
14/03/2003 16:00:00,24.5,24.9,24.2,24.71,8924181
17/03/2003 16:00:00,24.61,26.84,24.4,26.55,15178143
18/03/2003 16:00:00,26.75,26.84,26.1,26.78,8790179
19/03/2003 16:00:00,26.23,26.69,26.17,26.54,8495746
20/03/2003 16:00:00,26.4,27.63,26.13,27.45,9397052
21/03/2003 16:00:00,27.55,27.95,27.04,27.93,10689058
24/03/2003 16:00:00,27.27,27.27,26.2,26.23,10373163
25/03/2003 16:00:00,26.21,27.09,26.21,26.9,7213758
26/03/2003 16:00:00,26.99,27.87,26.71,27.76,7376598
27/03/2003 16:00:00,27.5,28.04,27.45,27.77,10643594
28/03/2003 16:00:00,27.69,27.95,27.1,27.18,6438641
31/03/2003 16:00:00,26.74,26.74,25.96,26.03,9224531
01/04/2003 16:00:00,25.59,25.59,25.06,25.54,9774049
02/04/2003 16:00:00,26.44,26.48,25.85,26.38,6623003
03/04/2003 16:00:00,26.34,27.09,26.02,26.65,7336147
04/04/2003 16:00:00,26.68,26.83,25.95,26.22,6074718
07/04/2003 16:00:00,27,27.56,26.75,26.82,7250910
08/04/2003 16:00:00,26.8,26.8,26.45,26.52,5422626
09/04/2003 16:00:00,26.1,26.37,24.84,25.06,11971466
10/04/2003 16:00:00,25.3,25.94,24.78,25.67,9499278
11/04/2003 16:00:00,25.66,26.24,25.42,25.75,6914093
14/04/2003 16:00:00,25.1,25.15,24.5,25.05,10458041
15/04/2003 16:00:00,25.05,25.43,24.82,25.13,6368572
16/04/2003 16:00:00,25.5,25.5,24.13,24.38,9324937
17/04/2003 16:00:00,24.4,25.01,24.35,24.99,6830932
21/04/2003 16:00:00,25,26.17,24.9,25.25,7132341
22/04/2003 16:00:00,25.25,25.69,24.82,25.58,6937485
23/04/2003 16:00:00,26.2,26.55,25.36,25.43,8882252
24/04/2003 16:00:00,25.6,25.63,24.77,25.12,19098990
25/04/2003 16:00:00,28.05,29,27.82,28.97,40081504
28/04/2003 16:00:00,28.8,29.19,28.6,29.11,15855823
29/04/2003 16:00:00,29.04,29.04,28.61,28.89,10547614
30/04/2003 16:00:00,28.8,29,28.38,28.69,9471889
01/05/2003 16:00:00,28.65,28.7,28.15,28.66,7705913
02/05/2003 16:00:00,28.69,29.46,28.55,29.43,9901115
05/05/2003 16:00:00,29.46,30.05,29.01,29.96,11170036
06/05/2003 16:00:00,29.94,31.18,29.8,30.88,13999119
07/05/2003 16:00:00,30.86,30.86,30.03,30.7,10393438
08/05/2003 16:00:00,30.25,30.76,30.22,30.45,8534925
09/05/2003 16:00:00,30.45,30.99,30.2,30.97,6007955
12/05/2003 16:00:00,30.99,31.8,30.67,31.7,7268344
13/05/2003 16:00:00,31.44,33.49,31.44,32.95,15887753
14/05/2003 16:00:00,33.1,33.19,32.44,32.6,8010459
15/05/2003 16:00:00,32.75,32.75,32.2,32.63,5223009
16/05/2003 16:00:00,32.55,33.16,32.38,33.05,7654816
19/05/2003 16:00:00,32.79,32.97,31.4,31.56,9798178
20/05/2003 16:00:00,31.85,32.13,31.17,31.48,8093492
21/05/2003 16:00:00,31.51,31.84,31.16,31.75,5217722
22/05/2003 16:00:00,31.63,33.3,31.29,33,8528528
23/05/2003 16:00:00,33.05,33.05,32.47,32.72,7078248
27/05/2003 16:00:00,32.65,35.03,32.45,34.85,12238479
28/05/2003 16:00:00,34.8,35.73,34.65,34.86,9059320
29/05/2003 16:00:00,34.78,35.97,34.7,35.55,9354055
